LookUp_BoroughName,0
Barking and Dagenham,38988
Barnet,55331
Bexley,30704
Brent,57075
Bromley,44662
Camden,59038
Croydon,66421
Ealing,58995
Enfield,58084
Greenwich,52607
Hackney,61535
Hammersmith and Fulham,39997
Haringey,58136
Harrow,31591
Havering,34016
Hillingdon,48785
Hounslow,48311
Islington,50706
Kensington and Chelsea,37136
Kingston upon Thames,23197
Lambeth,63603
Lewisham,54435
London Heathrow and London City Airports,3371
Merton,26769
Newham,67172
Redbridge,47026
Richmond upon Thames,23737
Southwark,65122
Sutton,25777
Tower Hamlets,65064
Waltham Forest,46109
Wandsworth,50478
Westminster,101781
